index,name,website,contact
0,Abbott GmbH,https://www.de.abbott,"{'email': 'info.de@abbott.com', 'phone': None}"
1,AESCULAP AG,http://www.aesculap.de,"{'email': None, 'phone': None}"
2,Aesculap Akademie GmbH,https://www.aesculap-akademie.de,"{'email': None, 'phone': None}"
3,air-be-c Medizintechnik GmbH,https://www.air-be-c.de,"{'email': 'info@air-be-c.de', 'phone': '0365 20 57 18 0'}"
4,ASANUS Medizintechnik GmbH,https://asanus.de,"{'email': None, 'phone': None}"
5,ASML Berlin GmbH (ehemals Berliner Glas GmbH),https://www.asml.com,"{'email': None, 'phone': None}"
6,ATMOS MedizinTechnik GmbH & Co.KG,https://atmosmed.com,"{'email': 'info@atmosmed.de', 'phone': None}"
7,aXcent medical GmbH,https://www.axcentmedical.com,"{'email': 'info@axcentmedical.com', 'phone': None}"
8,B.Braun Avitum Saxonia GmbH,https://www.bbraun.ch,"{'email': None, 'phone': None}"
9,B.Braun Miethke GmbH & Co. KG,https://www.bbraun-miethke.com,"{'email': None, 'phone': None}"
10,Bauer und Häselbarth-Chirurg GmbH,https://www.bh-chirurg.de,"{'email': 'info@bh-chirurg.de', 'phone': None}"
11,Bayoomed GmbH,https://www.bayoomed.com,"{'email': 'miriam.schulze@bayoo.net', 'phone': None}"
12,Belimed GmbH,https://www.belimed.com,"{'email': 'info@belimed.com', 'phone': 'Phone +41 41 449 78 88'}"
13,Belimed GmbH,https://www.belimed.com,"{'email': 'info@belimed.com', 'phone': 'Phone +41 41 449 78 88'}"
14,bon Optic Vertriebsgesellschaft mbH,https://www.bon.de,"{'email': 'call@bon.de', 'phone': '0451 / 80 9000'}"
15,Bosch + Sohn GmbH u. Co. KG Fabrik medizinischer Apparate,https://www.boso.de,"{'email': None, 'phone': '+\xa049\xa0(0)\xa074\xa077\xa092\xa075\xa0-\xa00'}"
16,Breas Medical GmbH,https://www.breas.com,"{'email': None, 'phone': None}"
17,Carl Zeiss AG,https://www.zeiss.ch,"{'email': 'do-not-reply@zeiss.com', 'phone': None}"
18,Carl Zeiss Jena GmbH,https://www.zeiss.ch,"{'email': 'do-not-reply@zeiss.com', 'phone': None}"
19,Carl Zeiss Meditec AG,https://www.zeiss.ch,"{'email': 'do-not-reply@zeiss.com', 'phone': None}"
20,Christoph Miethke GmbH & Co. KG,https://www.miethke.com,"{'email': None, 'phone': None}"
21,Condor GmbH Medicaltechnik,https://condor-medtec.de,"{'email': 'info@condor-medtec.de', 'phone': '+49 5258 9916 – 0'}"
22,CorTec GmbH,https://cortec-kleiderbuegel.de,"{'email': None, 'phone': None}"
23,danumed Medizintechnik GmbH,https://www.danumed.com,"{'email': 'info@danumed.com', 'phone': None}"
24,DeVilbiss Healthcare GmbH,https://www.drivedevilbiss-int.com,"{'email': 'kontakt@devilbisshc.com', 'phone': '+49 (0) 621 178 98- 0'}"
